session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,2,80,105487283075448384,296167.0,94711.0,15794.0,RL,L2/3,,
ses-4-scan-7,2,80,101758289725398432,269248.0,98832.0,18382.0,RL,L2/3,,
ses-4-scan-7,2,80,102391814782283808,273716.0,100363.0,19517.0,RL,L2/3,,
ses-4-scan-7,2,80,102531727972419184,274864.0,94064.0,22046.0,RL,L2/3,,
ses-4-scan-7,2,80,100491446037107984,259731.0,97037.0,16967.0,RL,L2/3,,
ses-4-scan-7,2,80,98661721048714608,246403.0,96034.0,15863.0,V1,L2/3,,
ses-4-scan-7,2,80,97676765526421840,239360.0,97728.0,21115.0,V1,L2/3,,
ses-4-scan-7,2,80,95003096107059872,219904.0,100512.0,15677.0,V1,L2/3,,
ses-4-scan-7,2,80,95073946021845424,220240.0,103936.0,16736.0,V1,L2/3,,
ses-4-scan-7,2,80,96761971986367024,232864.0,97872.0,22184.0,V1,L2/3,,
ses-4-scan-7,2,80,96902434798156000,233954.0,95679.0,23710.0,V1,L2/3,,
ses-4-scan-7,2,80,94792540099826672,218320.0,104320.0,19016.0,V1,L2/3,excitatory_neuron,23P
ses-4-scan-7,2,80,95846972288134032,226336.0,96064.0,23453.0,V1,L2/3,,
ses-4-scan-7,2,80,93384958856618048,208100.0,103017.0,17563.0,V1,L2/3,,
ses-4-scan-7,2,80,93596271449110096,209936.0,104504.0,19271.0,V1,L2/3,,
ses-4-scan-7,2,80,94439940934686816,215809.0,98923.0,22780.0,V1,L2/3,,
ses-4-scan-7,2,80,93946810036875728,212128.0,94544.0,23423.0,V1,L2/3,,
ses-4-scan-7,2,80,92399178835321120,200816.0,98272.0,24265.0,V1,L2/3,,
ses-4-scan-7,2,80,88318684623440560,171408.0,104688.0,21097.0,V1,L2/3,,
ses-4-scan-7,2,80,85645359136770608,151856.0,110144.0,17986.0,V1,L2/3,,
ses-4-scan-7,2,80,84730565597057984,145158.0,110036.0,19355.0,V1,L2/3,,
ses-4-scan-7,2,80,82971415443695840,132252.0,110550.0,17353.0,V1,L2/3,,
ses-4-scan-7,2,80,93525971155901024,209376.0,104880.0,17150.0,V1,L2/3,,
ses-4-scan-7,2,80,92188827443345712,199280.0,103920.0,16124.0,V1,L2/3,,
