session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
7,5,Area,AL,0.5722693096377307,0.022098657279471332,0.34531100478468896,414,291,AL,,,0.5453125,0.51875,0.6515625
7,5,Area,LM,0.619835953520164,0.0211973680015867,0.3463773069036227,1262,291,LM,,,0.578125,0.625,0.6578125
7,5,Area,RL,0.6098974709501025,0.018896556052025386,0.3286192754613807,1033,291,RL,,,0.5828125,0.5671875,0.6796875
7,5,Area,V1,0.6198974709501025,0.014487892903140745,0.355768967874231,5485,291,V1,,,0.5734375,0.603125,0.6796875
7,5,Depth,175um,0.7084347231715654,0.010130216038437553,0.3536637047163363,2240,1248,,175.0,,0.7109375,0.6671875,0.75
7,5,Depth,215um,0.6806493506493506,0.014813488846165202,0.3542036910457963,2337,1248,,215.0,,0.6828125,0.6296875,0.7328125
7,5,Depth,350um,0.7072863978127136,0.012632115253163564,0.3348598769651401,2348,1248,,350.0,,0.6875,0.6765625,0.759375
7,5,Depth,490um,0.680246069719754,0.007082408467922812,0.3203349282296651,1269,1248,,490.0,,0.6359375,0.6625,0.7421875
7,5,Area x Depth,AL_175um,0.45524948735475046,0.03544877117761031,0.3359056732740943,104,20,AL,175.0,,0.4390625,0.3875,0.54375
7,5,Area x Depth,AL_215um,0.4574436090225563,0.028425696224748852,0.36671223513328777,117,20,AL,215.0,,0.403125,0.3890625,0.584375
7,5,Area x Depth,AL_350um,0.4834654818865345,0.029753125519564577,0.35043062200956937,126,20,AL,350.0,,0.4140625,0.41875,0.6109375
7,5,Area x Depth,AL_490um,0.45584415584415583,0.030358719131826015,0.3338482570061517,67,20,AL,490.0,,0.41875,0.3875,0.565625
7,5,Area x Depth,LM_175um,0.4828503075871497,0.051527588431700765,0.3165755297334245,329,20,LM,175.0,,0.4421875,0.434375,0.571875
7,5,Area x Depth,LM_215um,0.45053998632946,0.014740785490406048,0.31411483253588524,349,20,LM,215.0,,0.3828125,0.4421875,0.521875
7,5,Area x Depth,LM_350um,0.5037593984962405,0.04198555899674719,0.3307928913192071,389,20,LM,350.0,,0.440625,0.490625,0.56875
7,5,Area x Depth,LM_490um,0.491784005468216,0.0330054981619574,0.32609706083390294,195,20,LM,490.0,,0.446875,0.4421875,0.5796875
7,5,Area x Depth,RL_175um,0.41919343814080656,0.01787688522002531,0.32297334244702663,280,20,RL,175.0,,0.3796875,0.353125,0.521875
7,5,Area x Depth,RL_215um,0.46458646616541355,0.01927957422321088,0.3396308954203691,319,20,RL,215.0,,0.465625,0.3625,0.5625
7,5,Area x Depth,RL_350um,0.4641421736158578,0.02718635646727014,0.35153793574846204,295,20,RL,350.0,,0.453125,0.4109375,0.528125
7,5,Area x Depth,RL_490um,0.4416541353383459,0.025805759600923975,0.3379904306220096,139,20,RL,490.0,,0.421875,0.3640625,0.54375
7,5,Area x Depth,V1_175um,0.44587833219412165,0.012292518085451667,0.33480519480519483,1527,20,V1,175.0,,0.359375,0.40625,0.571875
7,5,Area x Depth,V1_215um,0.43959671907040326,0.021932671991449375,0.3568831168831169,1552,20,V1,215.0,,0.3859375,0.409375,0.5234375
7,5,Area x Depth,V1_350um,0.4395488721804511,0.03249584260583119,0.34896787423103215,1538,20,V1,350.0,,0.45,0.378125,0.490625
7,5,Area x Depth,V1_490um,0.4750307587149692,0.04045116362442822,0.3177306903622693,868,20,V1,490.0,,0.3796875,0.4296875,0.6109375
7,5,CellType,23P,0.5020574162679425,0.008353538916106466,0.3509706083390294,541,75,,,23P,0.5359375,0.4125,0.5578125
7,5,CellType,4P,0.5157347915242653,0.009206720477987911,0.3546274777853725,255,75,,,4P,0.51875,0.4578125,0.571875
7,5,CellType,5P-ET,0.47769651401230356,0.01563189933709171,0.3255160628844839,31,20,,,5P-ET,0.459375,0.43125,0.559375
