session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,recall_Cinematic,recall_Rendered,recall_sports1m
4,7,Area,AL,0.6387764866712236,0.01608177362628507,0.328714969241285,387,291,AL,,0.6640625,0.625,0.6234375
4,7,Area,LM,0.6712918660287082,0.017374726594569966,0.3463431305536569,983,291,LM,,0.7015625,0.6421875,0.6703125
4,7,Area,RL,0.6524196855775803,0.018016122449066328,0.32604237867395763,811,291,RL,,0.665625,0.65,0.634375
4,7,Area,V1,0.6149282296650718,0.017699831011884177,0.3375187969924812,5312,291,V1,,0.628125,0.6140625,0.6109375
4,7,Depth,220um,0.7045591250854409,0.013031197994849641,0.3302187286397813,2565,1248,,220.0,0.73125,0.6890625,0.6984375
4,7,Depth,360um,0.7003691045796311,0.014546353895281652,0.338503075871497,2528,1248,,360.0,0.740625,0.65,0.709375
4,7,Depth,500um,0.7107450444292549,0.010795282749435612,0.3276555023923445,1510,1248,,500.0,0.73125,0.6828125,0.7140625
4,7,Area x Depth,AL_220um,0.48948735475051264,0.03390969521244909,0.3187696514012303,147,20,AL,220.0,0.4921875,0.4171875,0.559375
4,7,Area x Depth,AL_360um,0.4935269993164729,0.024449977651125658,0.33643198906356797,153,20,AL,360.0,0.4953125,0.4015625,0.578125
4,7,Area x Depth,AL_500um,0.5008202323991797,0.029336075814919142,0.3104101161995899,84,20,AL,500.0,0.534375,0.484375,0.484375
4,7,Area x Depth,LM_80um,0.46274777853725224,0.01739743394051025,0.3391114149008886,32,20,LM,80.0,0.4609375,0.4,0.53125
4,7,Area x Depth,LM_220um,0.4743814080656185,0.013843870402714118,0.33285714285714285,385,20,LM,220.0,0.43125,0.45625,0.5375
4,7,Area x Depth,LM_360um,0.4872317156527683,0.030747158153963415,0.33438824333561173,355,20,LM,360.0,0.496875,0.44375,0.5109375
4,7,Area x Depth,LM_500um,0.5217771701982228,0.02840534097638196,0.34889268626110737,211,20,LM,500.0,0.55,0.45625,0.5546875
4,7,Area x Depth,RL_80um,0.3879425837320574,0.014208114533186664,0.34427204374572795,23,20,RL,80.0,0.4171875,0.3296875,0.4046875
4,7,Area x Depth,RL_220um,0.42902939166097065,0.03950614342766928,0.33435406698564596,319,20,RL,220.0,0.43125,0.3203125,0.5390625
4,7,Area x Depth,RL_360um,0.45243335611756663,0.04799050509825921,0.323485987696514,310,20,RL,360.0,0.48125,0.3640625,0.5171875
4,7,Area x Depth,RL_500um,0.47892002734107997,0.019945973715356603,0.30565276828434723,159,20,RL,500.0,0.5109375,0.3953125,0.5375
4,7,Area x Depth,V1_80um,0.45599453178400545,0.04012061624255462,0.3375324675324675,832,20,V1,80.0,0.4546875,0.3984375,0.509375
4,7,Area x Depth,V1_220um,0.4472385509227614,0.01997870494979205,0.31768967874231036,1714,20,V1,220.0,0.425,0.4265625,0.478125
4,7,Area x Depth,V1_360um,0.4800615174299384,0.05520565633607262,0.34477101845522895,1710,20,V1,360.0,0.5046875,0.4171875,0.5109375
4,7,Area x Depth,V1_500um,0.46914559125085437,0.009304542504468358,0.3551742993848257,1056,20,V1,500.0,0.4625,0.428125,0.5171875
